
 ARRAYS IE1, IE2, IEO, I(1) THROUGH I(LNV)
 ****************************************

     1       0     0     0   0 0 0
     2       1     0     1   1 0 0
     3       9     0     1   0 1 0
     4       2     0     2   2 0 0
     5      10     0     2   1 1 0
     6      18     0     2   0 2 0
     7       3     0     3   3 0 0
     8      11     0     3   2 1 0
     9      19     0     3   1 2 0
    10      27     0     3   0 3 0
    11       4     0     4   4 0 0
    12      12     0     4   3 1 0
    13      20     0     4   2 2 0
    14      28     0     4   1 3 0
    15      36     0     4   0 4 0
    16       5     0     5   5 0 0
    17      13     0     5   4 1 0
    18      21     0     5   3 2 0
    19      29     0     5   2 3 0
    20      37     0     5   1 4 0
    21      45     0     5   0 5 0
    22       6     0     6   6 0 0
    23      14     0     6   5 1 0
    24      22     0     6   4 2 0
    25      30     0     6   3 3 0
    26      38     0     6   2 4 0
    27      46     0     6   1 5 0
    28      54     0     6   0 6 0
    29       7     0     7   7 0 0
    30      15     0     7   6 1 0
    31      23     0     7   5 2 0
    32      31     0     7   4 3 0
    33      39     0     7   3 4 0
    34      47     0     7   2 5 0
    35      55     0     7   1 6 0
    36      63     0     7   0 7 0
    37       8     0     8   8 0 0
    38      16     0     8   7 1 0
    39      24     0     8   6 2 0
    40      32     0     8   5 3 0
    41      40     0     8   4 4 0
    42      48     0     8   3 5 0
    43      56     0     8   2 6 0
    44      64     0     8   1 7 0
    45      72     0     8   0 8 0
    46       0     1     1   0 0 1
    47       1     1     2   1 0 1
    48       9     1     2   0 1 1
    49       2     1     3   2 0 1
    50      10     1     3   1 1 1
    51      18     1     3   0 2 1
    52       3     1     4   3 0 1
    53      11     1     4   2 1 1
    54      19     1     4   1 2 1
    55      27     1     4   0 3 1
    56       4     1     5   4 0 1
    57      12     1     5   3 1 1
    58      20     1     5   2 2 1
    59      28     1     5   1 3 1
    60      36     1     5   0 4 1
    61       5     1     6   5 0 1
    62      13     1     6   4 1 1
    63      21     1     6   3 2 1
    64      29     1     6   2 3 1
    65      37     1     6   1 4 1
    66      45     1     6   0 5 1
    67       6     1     7   6 0 1
    68      14     1     7   5 1 1
    69      22     1     7   4 2 1
    70      30     1     7   3 3 1
    71      38     1     7   2 4 1
    72      46     1     7   1 5 1
    73      54     1     7   0 6 1
    74       7     1     8   7 0 1
    75      15     1     8   6 1 1
    76      23     1     8   5 2 1
    77      31     1     8   4 3 1
    78      39     1     8   3 4 1
    79      47     1     8   2 5 1
    80      55     1     8   1 6 1
    81      63     1     8   0 7 1
    82       0     2     2   0 0 2
    83       1     2     3   1 0 2
    84       9     2     3   0 1 2
    85       2     2     4   2 0 2
    86      10     2     4   1 1 2
    87      18     2     4   0 2 2
    88       3     2     5   3 0 2
    89      11     2     5   2 1 2
    90      19     2     5   1 2 2
    91      27     2     5   0 3 2
    92       4     2     6   4 0 2
    93      12     2     6   3 1 2
    94      20     2     6   2 2 2
    95      28     2     6   1 3 2
    96      36     2     6   0 4 2
    97       5     2     7   5 0 2
    98      13     2     7   4 1 2
    99      21     2     7   3 2 2
   100      29     2     7   2 3 2
   101      37     2     7   1 4 2
   102      45     2     7   0 5 2
   103       6     2     8   6 0 2
   104      14     2     8   5 1 2
   105      22     2     8   4 2 2
   106      30     2     8   3 3 2
   107      38     2     8   2 4 2
   108      46     2     8   1 5 2
   109      54     2     8   0 6 2
   110       0     3     3   0 0 3
   111       1     3     4   1 0 3
   112       9     3     4   0 1 3
   113       2     3     5   2 0 3
   114      10     3     5   1 1 3
   115      18     3     5   0 2 3
   116       3     3     6   3 0 3
   117      11     3     6   2 1 3
   118      19     3     6   1 2 3
   119      27     3     6   0 3 3
   120       4     3     7   4 0 3
   121      12     3     7   3 1 3
   122      20     3     7   2 2 3
   123      28     3     7   1 3 3
   124      36     3     7   0 4 3
   125       5     3     8   5 0 3
   126      13     3     8   4 1 3
   127      21     3     8   3 2 3
   128      29     3     8   2 3 3
   129      37     3     8   1 4 3
   130      45     3     8   0 5 3
   131       0     4     4   0 0 4
   132       1     4     5   1 0 4
   133       9     4     5   0 1 4
   134       2     4     6   2 0 4
   135      10     4     6   1 1 4
   136      18     4     6   0 2 4
   137       3     4     7   3 0 4
   138      11     4     7   2 1 4
   139      19     4     7   1 2 4
   140      27     4     7   0 3 4
   141       4     4     8   4 0 4
   142      12     4     8   3 1 4
   143      20     4     8   2 2 4
   144      28     4     8   1 3 4
   145      36     4     8   0 4 4
   146       0     5     5   0 0 5
   147       1     5     6   1 0 5
   148       9     5     6   0 1 5
   149       2     5     7   2 0 5
   150      10     5     7   1 1 5
   151      18     5     7   0 2 5
   152       3     5     8   3 0 5
   153      11     5     8   2 1 5
   154      19     5     8   1 2 5
   155      27     5     8   0 3 5
   156       0     6     6   0 0 6
   157       1     6     7   1 0 6
   158       9     6     7   0 1 6
   159       2     6     8   2 0 6
   160      10     6     8   1 1 6
   161      18     6     8   0 2 6
   162       0     7     7   0 0 7
   163       1     7     8   1 0 7
   164       9     7     8   0 1 7
   165       0     8     8   0 0 8

 ARRAYS IA1,IA2
 **************

         0         1         0
         1         2        45
         2         4        81
         3         7       109
         4        11       130
         5        16       145
         6        22       155
         7        29       161
         8        37       164
         9         3         0
        10         5         0
        11         8         0
        12        12         0
        13        17         0
        14        23         0
        15        30         0
        16        38         0
        17         0         0
        18         6         0
        19         9         0
        20        13         0
        21        18         0
        22        24         0
        23        31         0
        24        39         0
        25         0         0
        26         0         0
        27        10         0
        28        14         0
        29        19         0
        30        25         0
        31        32         0
        32        40         0
        33         0         0
        34         0         0
        35         0         0
        36        15         0
        37        20         0
        38        26         0
        39        33         0
        40        41         0
        41         0         0
        42         0         0
        43         0         0
        44         0         0
        45        21         0
        46        27         0
        47        34         0
        48        42         0
        49         0         0
        50         0         0
        51         0         0
        52         0         0
        53         0         0
        54        28         0
        55        35         0
        56        43         0
        57         0         0
        58         0         0
        59         0         0
        60         0         0
        61         0         0
        62         0         0
        63        36         0
        64        44         0
        65         0         0
        66         0         0
        67         0         0
        68         0         0
        69         0         0
        70         0         0
        71         0         0
        72        45         0
